Exports,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
United States,"7,042","7,239","7,679","8,080","8,765","9,241","10,553","11,199","11,272","11,911","13,043","13,803","15,645",19029,
Mexico,94,102,112,110,137,157,125,122,132,153,193,178,235,228,
Latin America (excl. Mexico),42,52,53,70,81,140,119,124,134,133,130,122,203,318,
Caribbean,42,35,39,49,73,53,58,54,68,65,69,56,69,85,
EU,279,483,472,626,543,712,647,830,681,669,736,822,947,1130,
UK,86,92,85,98,123,130,166,152,155,194,182,226,327,324,
Other West Europe,4,4,4,5,4,5,15,22,4,5,5,18,28,17,
Eastern Europe,78,98,115,127,77,70,43,36,51,54,59,61,58,28,
Middle East,157,163,156,161,145,168,181,127,186,113,288,167,195,342,
Africa,45,75,66,57,63,90,76,87,115,91,83,68,112,147,
Japan,247,263,287,298,331,389,413,404,402,400,444,470,497,650,
Asia (excl. Japan),668,731,782,"1,069","1,430","1,238","1,584","1,540","1,544","2,019","1,204","1,163","1,255",1379,
Oceania,70,65,72,78,71,86,118,116,97,106,119,118,123,134,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,export,,,,,,,,,,,,,,
,Year,United States,Mexico,Latin America (excl. Mexico),Caribbean,EU,UK,Other West Europe,Eastern Europe,Middle East,Africa,Japan,Asia (excl. Japan),Oceania,
,2023,16936.98,217.6839,225.8663,76.30204,1039.461,292.4529,19.92269,33.809598,239.8135,116.4145,573.9587,1631.869,139.5788,
,2024,17425.34,218.4958,226.8032,75.18848,1105.306,298.5143,22.40788,33.464851,240.2446,112.7472,587.842,1665.596,147.665,
,2025,18805.15,250.0213,274.903,89.90451,1084.34,350.9702,20.2139,14.951787,263.4023,139.069,618.4721,1761.339,141.8795,
,2026,19520.78,254.1775,280.6363,88.57269,1153.475,357.1022,22.47732,14.381963,268.7602,138.1342,647.8435,1800.179,151.436,
,2027,20122.65,256.657,283.9645,87.34759,1220.977,363.1918,24.85232,13.927424,271.6517,135.8287,669.4691,1836.453,160.2596,
,2028,20611.01,257.4689,284.9014,86.23404,1286.822,369.2532,27.3375,13.582678,272.0828,132.1614,683.3524,1870.18,168.3458,
,2029,21990.81,288.9944,333.0012,100.95006,1265.856,421.7091,25.14353,-4.930386,295.2405,158.4833,713.9824,1965.924,162.5604,
,2030,22706.45,293.1505,338.7345,99.61824,1334.991,427.8412,27.40694,-5.500211,300.5984,157.5484,743.3538,2004.764,172.1168,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,import,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Year,United States,Mexico,Latin America (excl. Mexico),Caribbean,EU,UK,Other West Europe,Eastern Europe,Middle East,Africa,Japan,Asia (excl. Japan),Oceania
,1,2023,21994.54,2568.783,2610.342,174.9104,3262.3,377.1439,326.6584,66.63726,338.6332,536.9074,77.97912,2886.892,713.382
,2,2024,22726.29,2689.69,2718.186,184.4373,3349.32,383.9934,335.4219,70.17839,354.6515,554.1286,78.91699,2946.349,730.6781
,3,2025,23401.57,2904.578,2777.608,182.2238,3646.04,406.3323,389.2042,75.47022,380.0846,605.2987,88.07651,3078.313,751.3142
,4,2026,24287.98,3037.62,2874.952,194.9866,3846.891,413.1006,403.648,78.48815,394.8993,627.8143,91.6267,3251.239,796.5876
,5,2027,25097.08,3164.578,2977.552,206.1337,3990.789,419.907,415.245,81.76734,410.3143,647.6776,93.86966,3367.425,827.8741
,6,2028,25828.82,3285.485,3085.396,215.6605,4077.809,426.7565,424.0085,85.30847,426.3326,664.8988,94.80753,3426.883,845.1703
,7,2029,26504.11,3500.373,3144.819,213.447,4374.53,449.0953,477.7909,90.60031,451.7657,716.0689,103.96705,3558.847,865.8064
,8,2030,27390.52,3633.415,3242.163,226.2099,4575.38,455.8636,492.2346,93.61823,466.5804,738.5845,107.51723,3731.773,911.0798
